prime,"PipelineFlatNBEOf with extraction OCaml (real, s)","PipelineNBEOf with vm_compute (real, s)","GallinaAxOf with vm_compute (real, s)","GallinaAxOf with cbv (real, s)",extra info
139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444733,0.207747,,1.628,41.469,UnsaturatedSolinas x32 (0)
139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444733,0.037428,0.484,0.261,7.012,UnsaturatedSolinas x64 (0)
139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444733,10.794406,,,,WordByWordMontgomery x32 
139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444733,0.652396,,4.755,117.717,WordByWordMontgomery x64 
559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778929,0.215525,,1.628,41.3,UnsaturatedSolinas x32 (0)
559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778929,0.038432,0.468,0.266,7.038,UnsaturatedSolinas x64 (0)
559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778929,10.302343,,,,WordByWordMontgomery x32 
559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778929,0.689478,,4.722,117.67,WordByWordMontgomery x64 
1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707687,0.340468,,2.734,73.783,UnsaturatedSolinas x32 (0)
1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707687,0.058063,0.741,0.442,11.856,UnsaturatedSolinas x64 (0)
1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707687,18.204322,,,,WordByWordMontgomery x32 
1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707687,0.620978,,4.724,118.369,WordByWordMontgomery x64 
1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697069,0.343842,,2.867,77.472,UnsaturatedSolinas x32 (0)
1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697069,0.060658,0.742,0.464,12.421,UnsaturatedSolinas x64 (0)
1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697069,18.388721,,,,WordByWordMontgomery x32 
1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697069,0.701026,,4.718,118.782,WordByWordMontgomery x64 
9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576599,0.423934,,3.417,87.505,UnsaturatedSolinas x32 (0)
9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576599,0.058299,0.752,0.472,12.721,UnsaturatedSolinas x64 (0)
9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576599,18.597490,,,,WordByWordMontgomery x32 
9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576599,0.708749,,4.746,118.783,WordByWordMontgomery x64 
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995152987,0.488026,,4.173,102.183,UnsaturatedSolinas x32 (0)
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995152987,0.060861,0.788,0.475,12.049,UnsaturatedSolinas x64 (0)
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995152987,18.578935,,,,WordByWordMontgomery x32 
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995152987,0.691170,,4.722,118.731,WordByWordMontgomery x64 
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153221,0.416906,,3.461,93.717,UnsaturatedSolinas x32 (0)
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153221,0.059688,0.733,0.477,11.951,UnsaturatedSolinas x64 (0)
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153221,16.717235,,,,WordByWordMontgomery x32 
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153221,0.694779,,4.738,126.558,WordByWordMontgomery x64 
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153377,0.417661,,3.449,93.747,UnsaturatedSolinas x32 (0)
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153377,0.058919,0.772,0.477,11.915,UnsaturatedSolinas x64 (0)
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153377,18.481658,,,,WordByWordMontgomery x32 
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153377,0.683326,,4.743,118.214,WordByWordMontgomery x64 
27242793346725870392864805069239920482418413479970250235261124736529268568574243274298145027791523704776457633923071,,,,,UnsaturatedSolinas x32 (0)
27242793346725870392864805069239920482418413479970250235261124736529268568574243274298145027791523704776457633923071,,,,,UnsaturatedSolinas x64 (0)
27242793346725870392864805069239920482418413479970250235261124736529268568574243274298145027791523704776457633923071,18.615959,,,,WordByWordMontgomery x32 
27242793346725870392864805069239920482418413479970250235261124736529268568574243274298145027791523704776457633923071,0.691550,,,,WordByWordMontgomery x64 
39399000061888528705747341564979723453684698396802844018513788071802160543945063912606632720166983136866747113537535,,,,,UnsaturatedSolinas x32 (0)
39399000061888528705747341564979723453684698396802844018513788071802160543945063912606632720166983136866747113537535,,,,,UnsaturatedSolinas x64 (0)
39399000061888528705747341564979723453684698396802844018513788071802160543945063912606632720166983136866747113537535,18.865701,,,,WordByWordMontgomery x32 
39399000061888528705747341564979723453684698396802844018513788071802160543945063912606632720166983136866747113537535,0.647113,,,,WordByWordMontgomery x64 
39402006196394479212279040100143613805079739270465446667948293404245721771496870329047266088258938001861606973112319,,,,,UnsaturatedSolinas x32 (0)
39402006196394479212279040100143613805079739270465446667948293404245721771496870329047266088258938001861606973112319,,,,,UnsaturatedSolinas x64 (0)
39402006196394479212279040100143613805079739270465446667948293404245721771496870329047266088258938001861606973112319,18.994636,,,,WordByWordMontgomery x32 
39402006196394479212279040100143613805079739270465446667948293404245721771496870329047266088258938001861606973112319,0.695721,,,,WordByWordMontgomery x64 
39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306499,0.401803,,3.422,92.97,UnsaturatedSolinas x32 (0)
39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306499,0.058755,0.783,0.474,12.021,UnsaturatedSolinas x64 (0)
39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306499,18.803833,,,,WordByWordMontgomery x32 
39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306499,0.696786,,4.731,118.672,WordByWordMontgomery x64 
1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818091,0.413520,,3.542,89.802,UnsaturatedSolinas x32 (0)
1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818091,0.059020,0.772,0.489,13.182,UnsaturatedSolinas x64 (0)
1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818091,33.087221,,,,WordByWordMontgomery x32 
1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818091,1.375055,,,,WordByWordMontgomery x64 
5164499756173817179311838344006023748659411585658447025661318713081295244033682389259290706560275662871806343945494986721,0.438432,,3.759,96.196,UnsaturatedSolinas x32 (0)
5164499756173817179311838344006023748659411585658447025661318713081295244033682389259290706560275662871806343945494986721,0.059136,0.817,0.518,13.304,UnsaturatedSolinas x64 (0)
5164499756173817179311838344006023748659411585658447025661318713081295244033682389259290706560275662871806343945494986721,32.558687,,,,WordByWordMontgomery x32 
5164499756173817179311838344006023748659411585658447025661318713081295244033682389259290706560275662871806343945494986721,1.403447,,,,WordByWordMontgomery x64 
21153791001287955166461289857048673274508949854856999017108761448780985319561963066406054734070889115122918784800747465736171,0.528540,,4.615,118.693,UnsaturatedSolinas x32 (0)
21153791001287955166461289857048673274508949854856999017108761448780985319561963066406054734070889115122918784800747465736171,0.085385,1.129,0.741,18.775,UnsaturatedSolinas x64 (0)
21153791001287955166461289857048673274508949854856999017108761448780985319561963066406054734070889115122918784800747465736171,28.876614,,,,WordByWordMontgomery x32 
21153791001287955166461289857048673274508949854856999017108761448780985319561963066406054734070889115122918784800747465736171,1.620525,,,,WordByWordMontgomery x64 
42307582002575910332922579714097346549017899709713998034217522897561970639123926132812109468141778230245837569601494931472367,0.519189,,4.63,117.865,UnsaturatedSolinas x32 (0)
42307582002575910332922579714097346549017899709713998034217522897561970639123926132812109468141778230245837569601494931472367,0.080514,1.114,0.744,20.251,UnsaturatedSolinas x64 (0)
42307582002575910332922579714097346549017899709713998034217522897561970639123926132812109468141778230245837569601494931472367,33.391068,,,,WordByWordMontgomery x32 
42307582002575910332922579714097346549017899709713998034217522897561970639123926132812109468141778230245837569601494931472367,1.616669,,,,WordByWordMontgomery x64 
169230328010303641331690318856389386196071598838855992136870091178871743226194193992506142233229486675299383870011013888737279,,,,,UnsaturatedSolinas x32 (0)
169230328010303641331690318856389386196071598838855992136870091178871743226194193992506142233229486675299383870011013888737279,,,,,UnsaturatedSolinas x64 (0)
169230328010303641331690318856389386196071598838855992136870091178871743226194193992506142233229486675299383870011013888737279,28.737569,,,,WordByWordMontgomery x32 
169230328010303641331690318856389386196071598838855992136870091178871743226194193992506142233229486675299383870011013888737279,1.396649,,,,WordByWordMontgomery x64 
45427420268475430659332737993000283397102585042957378767593137448789955507087370207886940669610222847547657600391636120845912601788399,0.651517,,6.088,154.974,UnsaturatedSolinas x32 (0)
45427420268475430659332737993000283397102585042957378767593137448789955507087370207886940669610222847547657600391636120845912601788399,0.095663,1.247,0.852,21.591,UnsaturatedSolinas x64 (0)
45427420268475430659332737993000283397102585042957378767593137448789955507087370207886940669610222847547657600391636120845912601788399,48.809094,,,,WordByWordMontgomery x32 
45427420268475430659332737993000283397102585042957378767593137448789955507087370207886940669610222847547657600391636120845912601788399,1.573026,,,,WordByWordMontgomery x64 
726838724295606890549323807888004534353641360687318060281490199180612328166730772686396383698676545930088884461843637361053498018365439,,,,,UnsaturatedSolinas x32 (0)
726838724295606890549323807888004534353641360687318060281490199180612328166730772686396383698676545930088884461843637361053498018365439,,,,,UnsaturatedSolinas x64 (0)
726838724295606890549323807888004534353641360687318060281490199180612328166730772686396383698676545930088884461843637361053498018365439,56.255871,,,,WordByWordMontgomery x32 
726838724295606890549323807888004534353641360687318060281490199180612328166730772686396383698676545930088884461843637361053498018365439,1.364510,,,,WordByWordMontgomery x64 
2907354897182427562197295231552018137414565442749272241125960796722503232560257392025174868824880222981702812136219630589176199293960191,,,,,UnsaturatedSolinas x32 (0)
2907354897182427562197295231552018137414565442749272241125960796722503232560257392025174868824880222981702812136219630589176199293960191,,,,,UnsaturatedSolinas x64 (0)
2907354897182427562197295231552018137414565442749272241125960796722503232560257392025174868824880222981702812136219630589176199293960191,81.716465,,,,WordByWordMontgomery x32 
2907354897182427562197295231552018137414565442749272241125960796722503232560257392025174868824880222981702812136219630589176199293960191,3.519140,,,,WordByWordMontgomery x64 
11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834493,0.571106,,5.466,148.123,UnsaturatedSolinas x32 (0)
11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834493,0.100802,1.262,0.876,23.691,UnsaturatedSolinas x64 (0)
11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834493,81.822374,,,,WordByWordMontgomery x32 
11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834493,3.577954,,,,WordByWordMontgomery x64 
762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529839,0.690674,,6.676,171.354,UnsaturatedSolinas x32 (0)
762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529839,0.105782,1.33,0.934,23.591,UnsaturatedSolinas x64 (0)
762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529839,93.324979,,,,WordByWordMontgomery x32 
762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529839,2.919187,,,,WordByWordMontgomery x64 
3121748550315992231381597229793166305748598142664971150859156959625371737052918555341921773480194470416908415293922726019829017557682084013670399,,,,,UnsaturatedSolinas x32 (0)
3121748550315992231381597229793166305748598142664971150859156959625371737052918555341921773480194470416908415293922726019829017557682084013670399,,,,,UnsaturatedSolinas x64 (0)
3121748550315992231381597229793166305748598142664971150859156959625371737052918555341921773480194470416908415293922726019829017557682084013670399,82.016381,,,,WordByWordMontgomery x32 
3121748550315992231381597229793166305748598142664971150859156959625371737052918555341921773480194470416908415293922726019829017557682084013670399,2.955384,,,,WordByWordMontgomery x64 
799167628880894011233688890827050574271641124522232614619944181664095165137859998750798362384253944616915694367080095461234681773897801038410285039,1.032198,,,,UnsaturatedSolinas x32 (0)
799167628880894011233688890827050574271641124522232614619944181664095165137859998750798362384253944616915694367080095461234681773897801038410285039,0.144627,,1.334,33.447,UnsaturatedSolinas x64 (0)
799167628880894011233688890827050574271641124522232614619944181664095165137859998750798362384253944616915694367080095461234681773897801038410285039,,,,,WordByWordMontgomery x32 
799167628880894011233688890827050574271641124522232614619944181664095165137859998750798362384253944616915694367080095461234681773897801038410285039,2.851317,,,,WordByWordMontgomery x64 
1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570091,1.057282,,,,UnsaturatedSolinas x32 (0)
1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570091,0.142222,,1.339,33.662,UnsaturatedSolinas x64 (0)
1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570091,,,,,WordByWordMontgomery x32 
1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570091,2.912921,,,,WordByWordMontgomery x64 
102293456496754433437912178025862473506770063938845774671352855253004181137646079840102190385184504910965208878986252219038039267058918532916516487137,1.073728,,,,UnsaturatedSolinas x32 (0)
102293456496754433437912178025862473506770063938845774671352855253004181137646079840102190385184504910965208878986252219038039267058918532916516487137,0.148317,,1.367,36.19,UnsaturatedSolinas x64 (0)
102293456496754433437912178025862473506770063938845774671352855253004181137646079840102190385184504910965208878986252219038039267058918532916516487137,,,,,WordByWordMontgomery x32 
102293456496754433437912178025862473506770063938845774671352855253004181137646079840102190385184504910965208878986252219038039267058918532916516487137,3.580371,,,,WordByWordMontgomery x64 
3292621777717531703499517186296461297235914818063567795121505704883698582458552017893209304118318844074148143396809486426396407928092469737516832688963583,,,,,UnsaturatedSolinas x32 (0)
3292621777717531703499517186296461297235914818063567795121505704883698582458552017893209304118318844074148143396809486426396407928092469737516832688963583,,,,,UnsaturatedSolinas x64 (0)
3292621777717531703499517186296461297235914818063567795121505704883698582458552017893209304118318844074148143396809486426396407928092469737516832688963583,,,,,WordByWordMontgomery x32 
3292621777717531703499517186296461297235914818063567795121505704883698582458552017893209304118318844074148143396809486426396407928092469737516832688963583,3.625756,,,,WordByWordMontgomery x64 
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503041567,1.683658,,,,UnsaturatedSolinas x32 (0)
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503041567,0.202033,,,,UnsaturatedSolinas x64 (0)
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503041567,,,,,WordByWordMontgomery x32 
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503041567,3.581726,,,,WordByWordMontgomery x64 
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503041861,1.492005,,,,UnsaturatedSolinas x32 (0)
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503041861,0.200935,,,,UnsaturatedSolinas x64 (0)
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503041861,,,,,WordByWordMontgomery x32 
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503041861,2.883786,,,,WordByWordMontgomery x64 
13307355755662784245937995239384449178495717617804446826996292939863313924196378526398893947208652243867464023067321551174658528251694711947109629815685119,,,,,UnsaturatedSolinas x32 (0)
13307355755662784245937995239384449178495717617804446826996292939863313924196378526398893947208652243867464023067321551174658528251694711947109629815685119,,,,,UnsaturatedSolinas x64 (0)
13307355755662784245937995239384449178495717617804446826996292939863313924196378526398893947208652243867464023067321551174658528251694711947109629815685119,,,,,WordByWordMontgomery x32 
13307355755662784245937995239384449178495717617804446826996292939863313924196378526398893947208652243867464023067321551174658528251694711947109629815685119,3.603070,,,,WordByWordMontgomery x64 
13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006083527,1.652178,,,,UnsaturatedSolinas x32 (0)
13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006083527,0.205722,,,,UnsaturatedSolinas x64 (0)
13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006083527,,,,,WordByWordMontgomery x32 
13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006083527,3.501772,,,,WordByWordMontgomery x64 
6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057151,1.039524,,,,UnsaturatedSolinas x32 (0)
6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057151,0.166395,,,,UnsaturatedSolinas x64 (0)
6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057151,,,,,WordByWordMontgomery x32 
6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057151,7.283314,,,,WordByWordMontgomery x64 
